GameID,Date,AwayTeam,HomeTeam
717744,2023-06-16T18:20:00Z,Baltimore Orioles,Chicago Cubs
717749,2023-06-16T23:05:00Z,Miami Marlins,Washington Nationals
717743,2023-06-16T23:10:00Z,St. Louis Cardinals,New York Mets
717742,2023-06-16T23:10:00Z,New York Yankees,Boston Red Sox
717745,2023-06-16T23:20:00Z,Colorado Rockies,Atlanta Braves
717741,2023-06-17T00:05:00Z,Toronto Blue Jays,Texas Rangers
717737,2023-06-17T00:10:00Z,Cincinnati Reds,Houston Astros
717736,2023-06-17T00:10:00Z,Los Angeles Angels,Kansas City Royals
717738,2023-06-17T00:10:00Z,Detroit Tigers,Minnesota Twins
717740,2023-06-17T00:10:00Z,Pittsburgh Pirates,Milwaukee Brewers
717739,2023-06-17T01:40:00Z,Cleveland Guardians,Arizona Diamondbacks
717732,2023-06-17T01:40:00Z,Tampa Bay Rays,San Diego Padres
717735,2023-06-17T01:40:00Z,Philadelphia Phillies,Oakland Athletics
717731,2023-06-17T02:10:00Z,San Francisco Giants,Los Angeles Dodgers
717733,2023-06-17T02:10:00Z,Chicago White Sox,Seattle Mariners
717728,2023-06-17T18:10:00Z,Detroit Tigers,Minnesota Twins
717729,2023-06-17T18:20:00Z,Baltimore Orioles,Chicago Cubs
717723,2023-06-17T20:05:00Z,Toronto Blue Jays,Texas Rangers
717734,2023-06-17T20:05:00Z,Miami Marlins,Washington Nationals
717725,2023-06-17T20:07:00Z,Philadelphia Phillies,Oakland Athletics
717727,2023-06-17T20:10:00Z,Cincinnati Reds,Houston Astros
717726,2023-06-17T20:10:00Z,Los Angeles Angels,Kansas City Royals
717718,2023-06-17T20:10:00Z,St. Louis Cardinals,New York Mets
717724,2023-06-17T20:10:00Z,Colorado Rockies,Atlanta Braves
717722,2023-06-17T20:10:00Z,Chicago White Sox,Seattle Mariners
717720,2023-06-17T20:10:00Z,Pittsburgh Pirates,Milwaukee Brewers
717717,2023-06-17T23:15:00Z,Tampa Bay Rays,San Diego Padres
717730,2023-06-17T23:15:00Z,New York Yankees,Boston Red Sox
717721,2023-06-18T01:10:00Z,San Francisco Giants,Los Angeles Dodgers
717719,2023-06-18T02:10:00Z,Cleveland Guardians,Arizona Diamondbacks
717708,2023-06-18T17:05:00Z,Baltimore Orioles,Chicago Cubs
717716,2023-06-18T17:35:00Z,Colorado Rockies,Atlanta Braves
717714,2023-06-18T17:35:00Z,Miami Marlins,Washington Nationals
717713,2023-06-18T17:40:00Z,St. Louis Cardinals,New York Mets
717707,2023-06-18T18:10:00Z,Cincinnati Reds,Houston Astros
717712,2023-06-18T18:10:00Z,Los Angeles Angels,Kansas City Royals
717711,2023-06-18T18:10:00Z,Detroit Tigers,Minnesota Twins
717710,2023-06-18T18:10:00Z,Pittsburgh Pirates,Milwaukee Brewers
717709,2023-06-18T18:35:00Z,Toronto Blue Jays,Texas Rangers
717705,2023-06-18T20:07:00Z,Philadelphia Phillies,Oakland Athletics
717706,2023-06-18T20:10:00Z,Cleveland Guardians,Arizona Diamondbacks
717702,2023-06-18T20:10:00Z,San Francisco Giants,Los Angeles Dodgers
717703,2023-06-18T20:10:00Z,Tampa Bay Rays,San Diego Padres
717704,2023-06-18T20:10:00Z,Chicago White Sox,Seattle Mariners
717715,2023-06-18T23:10:00Z,New York Yankees,Boston Red Sox
717699,2023-06-19T20:05:00Z,St. Louis Cardinals,Washington Nationals
717692,2023-06-19T22:40:00Z,Kansas City Royals,Detroit Tigers
717700,2023-06-19T22:40:00Z,Toronto Blue Jays,Miami Marlins
717698,2023-06-19T23:05:00Z,Chicago Cubs,Pittsburgh Pirates
717701,2023-06-19T23:10:00Z,Colorado Rockies,Cincinnati Reds
717693,2023-06-19T23:40:00Z,Boston Red Sox,Minnesota Twins
717694,2023-06-20T00:10:00Z,New York Mets,Houston Astros
717695,2023-06-20T00:10:00Z,Texas Rangers,Chicago White Sox
717696,2023-06-20T00:10:00Z,Arizona Diamondbacks,Milwaukee Brewers
717697,2023-06-20T01:45:00Z,San Diego Padres,San Francisco Giants
717681,2023-06-20T22:40:00Z,Kansas City Royals,Detroit Tigers
717687,2023-06-20T22:40:00Z,Baltimore Orioles,Tampa Bay Rays
717689,2023-06-20T22:40:00Z,Atlanta Braves,Philadelphia Phillies
717690,2023-06-20T22:40:00Z,Toronto Blue Jays,Miami Marlins
717686,2023-06-20T23:05:00Z,Chicago Cubs,Pittsburgh Pirates
717691,2023-06-20T23:05:00Z,St. Louis Cardinals,Washington Nationals
717684,2023-06-20T23:05:00Z,Seattle Mariners,New York Yankees
717685,2023-06-20T23:10:00Z,Colorado Rockies,Cincinnati Reds
717679,2023-06-20T23:10:00Z,Oakland Athletics,Cleveland Guardians
717683,2023-06-20T23:40:00Z,Boston Red Sox,Minnesota Twins
717682,2023-06-21T00:10:00Z,New York Mets,Houston Astros
717675,2023-06-21T00:10:00Z,Texas Rangers,Chicago White Sox
717680,2023-06-21T00:10:00Z,Arizona Diamondbacks,Milwaukee Brewers
717688,2023-06-21T01:45:00Z,San Diego Padres,San Francisco Giants
717678,2023-06-21T02:07:00Z,Los Angeles Dodgers,Los Angeles Angels
717677,2023-06-21T16:10:00Z,Baltimore Orioles,Tampa Bay Rays
717676,2023-06-21T16:10:00Z,Toronto Blue Jays,Miami Marlins
